#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J1420-6048    , 14:20:08.237       , -60:48:16.43       , 5.632 , 1.3e+04 , 1.0e+37
  J1421-4409    , 14:21:20.96387     , -44:09:04.553      , 2.085 , 8.18e+09, 1.9e+33

  J1422-6138    , 14:22:28.297       , -61:38:28.32       , *     , 5.58e+04, 9.6e+34
  J1423-6953    , 14:23:26.79        , -69:53:42.82       , 4.704 , 3.64e+06, 1.5e+33
  J1424-5556    , 14:24:12.76        , -55:56:13.9        , 6.205 , 1.56e+07, 6.7e+31
  J1424-56      , 14:24:23           , -56:40:47          , 0.949 , *       , *
  J1424-5822    , 14:24:32.130       , -58:22:55.7        , 6.695 , 1.48e+06, 3.1e+33

  J1424-6438    , 14:24:59.2         , -64:38:10.0        , 6.079 , 6.76e+07, 8.8e+30
  J1425-5723    , 14:25:36.56        , -57:23:30.8        , 1.065 , 2.54e+08, 2.0e+31
  J1425-5759    , 14:25:59.11        , -57:59:10.2        , 7.636 , 1.51e+07, 8.3e+31
  J1425-6210    , 14:25:07.7         , -62:10:04.9        , 6.851 , 1.66e+07, 1.5e+32
  J1426+52      , 14:27:00           , +52:10             , 25.000, *       , *

  J1427-4158    , 14:27:50.770       , -41:58:56.3        , 3.744 , 1.5e+07 , 1.2e+32
  B1424-55      , 14:28:26.240       , -55:30:50.06       , 1.897 , 4.33e+06, 4.4e+32
  J1429-5911    , 14:29:58.6         , -59:11:36.6        , 1.955 , 6.02e+04, 7.7e+35
  J1429-5935    , 14:29:25.90        , -59:35:58.9        , 7.685 , 2.83e+05, 3.8e+33
  J1430+22      , 14:30:01           , +22:24:23          , 25.000, *       , *

  J1430-5712    , 14:30:16.17        , -57:12:31.4        , 3.902 , 1.66e+05, 1.6e+34
  B1426-66      , 14:30:40.735       , -66:23:05.55       , 1.327 , 4.48e+06, 2.3e+32
  J1431-4715    , 14:31:44.6177      , -47:15:27.574      , 1.562 , 2.26e+09, 6.8e+34
  J1431-5740    , 14:31:03.4953      , -57:40:11.670      , 3.553 , 1.01e+10, 3.6e+33
  J1431-6328    , 14:13:21.23        , -63:28:08.6        , 4.924 , *       , *

  J1432-5032    , 14:32:52.27        , -50:32:17.3        , 5.280 , 5.44e+06, 2.8e+31
  J1433+00      , 14:33:30           , +00:28             , 2.993 , *       , *
  J1433-6038    , 14:33:13.18        , -60:38:34.7        , 6.221 , 5.5e+06 , 3.0e+31
  J1434-5943    , 14:34:58.31        , -59:43:41.6        , 3.212 , 5.74e+08, 9.5e+29
  J1434-6006    , 14:34:05.3         , -60:06:29.0        , 5.297 , 1.61e+06, 4.1e+33

  J1434-6029    , 14:34:39.1         , -60:29:49          , 4.808 , 1.48e+07, 4.5e+31
  J1434+7257    , 14:33:59.7370      , +72:57:26.512      , 0.974 , 1.2e+09 , 3.0e+32
  J1435-5954    , 14:35:00.208       , -59:54:49.5        , 1.064 , 4.84e+06, 5.8e+32
  J1435-6100    , 14:35:20.2765      , -61:00:57.956      , 2.816 , 6.05e+09, 1.2e+33
  J1437-5959    , 14:37:01.91        , -59:59:01.4        , 8.543 , 1.14e+05, 1.4e+36

  J1437-6146    , 14:37:15.31        , -61:46:02.0        , 4.253 , 1.17e+06, 2.4e+33
  J1439-5501    , 14:39:39.7420      , -55:01:23.621      , 0.655 , 3.2e+09 , 2.4e+32
  J1439+7655    , 14:39:22           , +76:55:46          , 2.047 , *       , *
  B1436-63      , 14:40:31.26        , -63:44:48.4        , 3.446 , 6.5e+06 , 4.6e+32
  J1441-6137    , 14:41:44.3         , -61:37:24          , 3.882 , 5.18e+07, 8.7e+30

  J1443-5122    , 14:43:26.97        , -51:22:26          , 2.979 , 3.43e+07, 3.4e+31
  J1444-5941    , 14:44:46.5         , -59:41:19          , 3.844 , 5.31e+06, 1.5e+31
  J1444-6026    , 14:44:06.02        , -60:26:09.4        , 5.823 , 4.07e+06, 6.8e+30
  J1446-4701    , 14:46:35.712054    , -47:01:26.78210    , 1.569 , 3.55e+09, 3.7e+34
  J1447-5757    , 14:47:28.2         , -57:57:26          , *     , 2.14e+05, 1.2e+35

  J1449-5846    , 14:49:25.43        , -58:46:40.4        , 4.169 , 8.54e+07, 3.4e+31
  J1452-5851    , 14:52:52.60        , -58:51:13.2        , 4.504 , 1.21e+05, 3.5e+34
  J1452-6036    , 14:52:51.885       , -60:36:31.43       , 6.135 , 1.69e+06, 1.5e+34
  J1453+1902    , 14:53:45.719363    , +19:02:12.1142     , 1.269 , 7.87e+09, 2.4e+33
  B1449-64      , 14:53:32.665       , -64:13:16.00       , 2.800 , 1.04e+06, 1.9e+34

  J1454-5846    , 14:54:10.908       , -58:46:34.74       , 2.988 , 8.78e+08, 3.5e+32
  J1455-3330    , 14:55:47.970656    , -33:30:46.3869     , 0.684 , 5.21e+09, 1.9e+33
  J1455-59      , 14:55:06           , -59:23             , 6.692 , *       , *
  J1456-48      , 14:56              , -48:00             , 9.338 , *       , *
  B1451-68      , 14:55:59.923       , -68:43:39.50       , 0.430 , 4.22e+07, 2.1e+32

  B1454-51      , 14:57:40.093       , -51:22:54.9        , 0.994 , 5.23e+06, 3.9e+31
  J1457-5900    , 14:57:39.0         , -59:00:51          , 3.738 , 6.49e+06, 4.3e+31
  J1457-5902    , 14:57:31.9         , -59:02:04          , 6.366 , 5.03e+05, 8.1e+33
  J1459-6053    , 14:59:29.99        , -60:53:20.7        , 1.840 , 6.47e+04, 9.1e+35
  J1501-0046    , 15:01:44.9558      , -00:46:23.52       , 2.131 , 3.07e+07, 9.4e+31

  J1501-5637    , 15:01:51.0         , -56:37:48          , 4.938 , 7.3e+07 , 1.4e+31
  J1502+28      , 15:02:09           , +28:13             , 1.289 , *       , *
  J1502+4653    , 15:02:19.83        , +46:53:27.4        , 25.000, 1.61e+08, 1.3e+30
  J1502-5653    , 15:02:57.389       , -56:53:39.21       , 3.961 , 4.64e+06, 4.7e+32
  J1502-5828    , 15:02:43.8         , -58:28:42          , 7.093 , 2.91e+05, 4.8e+33

  J1502-6128    , 15:02:29.84        , -61:28:50.3        , 5.189 , 9.9e+06 , 8.9e+31
  J1502-6752    , 15:02:18.615       , -67:52:16.759      , 7.865 , 1.35e+09, 6.5e+32
  J1503+2111    , 15:03:54.60        , +21:11:09.3        , 0.244 , 3.75e+08, 1.5e+29
  J1504-5621    , 15:04:49.14        , -56:21:32          , 3.548 , 1.18e+06, 3.1e+33
  J1504-5659    , 15:04:31.987       , -56:59:19.4        , 11.274, 1.86e+07, 1.2e+31

  J1505-25      , 15:05              , -25                , 4.019 , *       , *
  B1503-51      , 15:06:39.5         , -51:58:10          , 1.384 , 2.09e+06, 4.2e+32
  B1504-43      , 15:07:34.175       , -43:52:04.05       , 1.394 , 2.87e+06, 2.7e+33
  J1507-5800    , 15:07:03.504       , -58:00:56.20       , 5.893 , 5.46e+07, 1.4e+31
  B1503-66      , 15:07:48.634       , -66:40:57.86       , 4.792 , 4.89e+06, 1.0e+33

  B1508+55      , 15:09:25.6298      , +55:31:32.394      , 2.100 , 2.34e+06, 4.9e+32
  J1509-5850    , 15:09:27.156       , -58:50:56.01       , 3.372 , 1.54e+05, 5.1e+35
  J1509-6015    , 15:09:07.5         , -60:15:18.6        , 11.090, 2.53e+06, 2.1e+33
  B1507-44      , 15:10:48.9         , -44:22:07          , 4.128 , 2.45e+07, 2.9e+31
  J1511-5414    , 15:11:51.285       , -54:14:40.32       , 2.430 , 6.55e+06, 2.4e+33

  J1511-5835    , 15:11:07.0         , -58:35:28          , 5.122 , 1.39e+07, 5.0e+32
  J1512-5431    , 15:12:05.7         , -54:31:19          , 5.115 , 1.68e+07, 8.9e+30
  B1508-57      , 15:12:43.04        , -57:59:59.8        , 6.835 , 2.98e+05, 1.3e+35
  J1513-2550    , 15:13:23.32059     , -25:50:31.285      , 3.960 , 1.55e+09, 9.0e+34
  J1513-5739    , 15:13:58.99        , -57:39:01.4        , 5.890 , 5.6e+05 , 1.2e+33

  B1509-58      , 15:13:55.811       , -59:08:09.60       , 4.400 , 1.57e+03, 1.7e+37
  J1513-5946    , 15:13:44.78        , -59:46:31.9        , 3.757 , 1.94e+06, 2.9e+32
  J1513-6013    , 15:13:54.02        , -60:13:26.5        , 7.928 , 2.26e+07, 7.2e+30
  B1510-48      , 15:14:14.563       , -48:34:19.97       , 1.243 , 7.78e+06, 3.9e+32
  J1514-4946    , 15:14:19.1141      , -49:46:15.516      , 0.908 , 3.05e+09, 1.6e+34

  J1514-5316    , 15:14:40.160       , -53:16:02.3        , 0.850 , 2.93e+09, 2.4e+30
  J1514-5925    , 15:14:59.10        , -59:25:43.5        , 3.906 , 8.19e+05, 3.4e+34
  J1515-5720    , 15:15:09.23        , -57:20:50.15       , 6.069 , 7.45e+05, 1.0e+34
  J1516-43      , 15:16:32.3         , -43:20:00          , 3.037 , *       , *
  J1517-32      , 15:17:01           , -32:26:05          , 0.966 , *       , *

  J1517-4356    , 15:17:27.34        , -43:56:17.9        , 4.473 , 4.79e+07, 3.1e+31
  J1517-4636    , 15:17:29.376       , -46:36:00.6        , 7.675 , 6.7e+06 , 1.2e+32
  B1516+02A     , 15:18:33.3176      , +02:05:27.55       , 7.500 , 2.13e+09, 9.5e+33
  B1516+02B     , 15:18:31.458       , +02:05:15.47       , 7.500 , *       , *
  J1518+0204C   , 15:18:32.788893    , +02:04:47.8153     , 7.500 , 1.51e+09, 6.7e+34

  J1518+0204D   , 15:18:33.2         , +02:04:52          , 7.500 , *       , *
  J1518+0204E   , 15:18:34           , +02:04:58          , 7.500 , *       , *
  J1518+0204F   , 15:18:33.2         , +02:04:52          , 7.500 , *       , *
  J1518-0627    , 15:18:59.1104      , -06:27:07.70       , 2.679 , 3.01e+07, 3.3e+31
  J1518-3952    , 15:18:56.968       , -39:52:30.3        , 12.297, 3.34e+07, 7.5e+31

  J1518+4904    , 15:18:16.799084    , +49:04:34.25119    , 0.964 , 2.39e+10, 1.6e+31
  J1518-5415    , 15:18:13.50        , -54:15:45.0        , 3.768 , 8.39e+07, 1.6e+32
  J1519-5734    , 15:19:47.59        , -57:34:13.6        , 6.799 , 1.92e+06, 1.2e+33
  J1519-6106    , 15:19:35.81        , -61:06:54.6        , 5.047 , 4.08e+06, 3.3e+31
  J1519-6308    , 15:19:09.56        , -63:08:19.5        , 12.367, 3.33e+06, 1.2e+32

  J1522-5525    , 15:22:06.7         , -55:25:17.5        , 2.000 , 6.67e+06, 4.9e+31
  J1522-5735    , 15:22:05.3         , -57:35:00          , *     , 5.18e+04, 1.2e+36
  B1518-58      , 15:22:42.244       , -58:29:02.815      , 3.882 , 3.05e+06, 1.3e+33
  J1523-3235    , 15:23:37.70        , -32:35:42.1        , 7.997 , 2.5e+07 , 1.1e+31
  J1524-20      , 15:24:44           , -20:59:21          , 3.175 , *       , *

  J1524-5625    , 15:24:49.86        , -56:25:23.4        , 3.378 , 3.18e+04, 3.2e+36
  J1524-5706    , 15:24:21.42        , -57:06:34.64       , 7.434 , 4.96e+04, 1.0e+34
  J1524-5819    , 15:24:24.65        , -58:19:14.1        , 7.546 , 1.21e+05, 5.6e+33
  J1525-5417    , 15:25:28.35        , -54:17:20          , 4.880 , 9.91e+05, 6.2e+32
  J1525-5523    , 15:25:36.064       , -55:23:27.2        , 3.132 , 6.28e+08, 7.9e+30

  J1525-5545    , 15:25:28.1340      , -55:45:49.842      , 3.140 , 1.37e+09, 3.5e+33
  J1525-5605    , 15:25:41.45        , -56:05:13          , 5.078 , 3.83e+07, 2.1e+32
  J1526-2744    , 15:26:34           , -27:43:34          , *     , *       , *
  J1526-5633    , 15:26:41.2         , -56:33:43          , 4.796 , 3.89e+07, 1.8e+32
  B1524-39      , 15:27:58.828       , -39:31:34.2        , 1.691 , 2.01e+06, 5.3e+31

  B1523-55      , 15:27:40.734       , -55:52:08.352      , 5.381 , 1.47e+06, 3.9e+32
  J1528-3146    , 15:28:34.9542      , -31:46:06.836      , 0.774 , 3.87e+09, 4.4e+31
  J1528-4109    , 15:28:08.033       , -41:09:28.8        , 5.453 , 2.11e+07, 1.1e+32
  J1528-5547    , 15:28:39.18        , -55:47:23          , 4.471 , 7.09e+06, 7.3e+30
  J1528-5838    , 15:28:24.3         , -58:38:01          , *     , 2.28e+05, 2.2e+34

  J1529-26      , 15:29              , -26                , 3.008 , *       , *
  J1529-3828    , 15:29:15.1066      , -38:28:45.85       , 4.301 , 4.98e+09, 1.7e+33
  J1529+40      , 15:29:12           , +40:49             , 0.499 , *       , *
  J1529-5355    , 15:29:57.6         , -53:55:36          , 6.240 , 1.74e+07, 4.5e+31
  J1529-5611    , 15:29:35.8         , -56:11:29          , 3.321 , 3.18e+06, 2.9e+32

  J1530-21      , 15:30              , -21                , 2.696 , *       , *
  J1530-5327    , 15:30:26.892       , -53:27:56.02       , 1.123 , 9.44e+05, 8.5e+33
  J1530-6343    , 15:30:47.608       , -63:43:13.6        , 11.447, 1.75e+07, 4.3e+31
  J1531-4012    , 15:31:08.05        , -40:12:30.9        , 9.528 , 5.87e+07, 8.4e+31
  J1531-5610    , 15:31:27.901       , -56:10:55.33       , 2.841 , 9.67e+04, 9.1e+35

  B1530+27      , 15:32:10.3646      , +27:45:49.623      , 1.695 , 2.29e+07, 2.2e+31
  J1532-5308    , 15:32:35.5         , -53:08:06          , 3.825 , 1.08e+08, 2.9e+31
  J1532-56      , 15:32:18           , -56:32             , 4.440 , *       , *
  J1534-4428    , 15:34:52.00        , -44:28:09.4        , 9.640 , 1.08e+08, 3.9e+30
  J1534-46      , 15:34:08           , -46:14             , 2.035 , *       , *

  B1530-53      , 15:34:08.278       , -53:34:19.66       , 0.810 , 1.52e+07, 2.2e+31
  B1530-539     , 15:34:33.59        , -54:05:39.7        , 3.748 , 2.97e+06, 2.5e+33
  J1535-4114    , 15:35:17.07        , -41:14:03.1        , 2.770 , 1.68e+06, 2.0e+33
  J1535-4415    , 15:35:55.92        , -44:15:08.4        , 5.818 , 1.83e+08, 1.6e+31
  J1535-5450    , 15:35:58.26        , -54:50:26          , 3.946 , 6.26e+05, 3.1e+33

  J1535-5848    , 15:35:16.76        , -58:48:27.7        , 2.971 , 1.79e+06, 3.7e+33
  J1536+17      , 15:36:15           , +17:49             , 25.000, *       , *
  J1536-30      , 15:36              , -30                , 5.285 , *       , *
  J1536-3602    , 15:36:17.382       , -36:02:58.8        , 7.620 , 2.65e+07, 1.4e+31
  J1536-4948    , 15:36:23.22091     , -49:48:54.6880     , 0.978 , 2.3e+09 , 2.9e+34

  J1536-5433    , 15:36:04.82        , -54:33:15          , 3.306 , 7.31e+06, 1.1e+32
  J1536-5907    , 15:36:17.72        , -59:07:03.6        , 8.135 , 6.47e+06, 3.1e+32
  B1534+12      , 15:37:09.961730    , +11:55:55.43387    , 1.051 , 2.48e+08, 1.8e+33
  J1537-4912    , 15:37:28.2         , -49:12:03          , 2.055 , 2.47e+06, 2.8e+33
  J1537-5153    , 15:37:15.73        , -51:53:06          , 2.744 , 5.8e+06 , 4.6e+31

  J1537-5312    , 15:37:37.69466     , -53:12:25.057      , 3.056 , 6.92e+09, 1.9e+33
  J1537-5645    , 15:37:51.0         , -56:45:04          , 8.465 , 2.45e+06, 1.4e+33
  J1538+2345    , 15:38:06.07        , +23:45:04.0        , 1.312 , 7.93e+06, 6.6e+30
  J1538-5438    , 15:38:48.95        , -54:38:17          , 3.179 , 3.08e+06, 2.7e+33
  J1538-5519    , 15:38:40.83        , -55:19:46          , 5.940 , 1.53e+08, 2.6e+31

  J1538-5551    , 15:38:45.016       , -55:51:36.95       , 5.977 , 5.17e+05, 1.1e+35
  J1538-5621    , 15:38:43.29        , -56:21:55.5        , 3.313 , 4.14e+06, 4.2e+31
  J1538-5638    , 15:38:05.7         , -56:38:12          , 7.043 , 1.88e+06, 4.7e+32
  J1538-5732    , 15:38:18.18        , -57:32:29.3        , 3.428 , 1.19e+06, 4.5e+33
  J1538-5750    , 15:38:08.41        , -57:50:17.1        , 2.519 , 1.91e+08, 1.3e+31

  J1539-4828    , 15:39:40.84        , -48:28:57          , 3.465 , 1.59e+07, 2.4e+31
  J1539-5521    , 15:39:07.97        , -55:21:11.2        , 4.912 , 2.19e+07, 2.8e+31
  B1535-56      , 15:39:14.06        , -56:26:26.3        , 3.536 , 7.95e+05, 1.3e+34
  J1539-6322    , 15:39:24.70        , -63:22:53.2        , 7.095 , 1.28e+08, 1.8e+30
  J1540-5736    , 15:40:59.02        , -57:36:57          , 6.349 , 2.31e+07, 7.2e+31

  J1541-42      , 15:41:55           , -42:18:50          , 2.112 , *       , *
  J1541-5535    , 15:41:49.6         , -55:35:01          , 5.161 , 6.25e+04, 1.1e+35
  J1542-5034    , 15:42:45.32        , -50:34:03.66       , 2.732 , 2.36e+06, 7.4e+32
  J1542-5133    , 15:42:19.93        , -51:33:35          , 4.061 , 4.8e+07 , 4.1e+30
  J1542-5303    , 15:42:54.51        , -53:03:41          , 5.370 , 2.46e+05, 1.7e+33

  B1540-06      , 15:43:30.1373      , -06:20:45.332      , 3.226 , 1.28e+07, 9.7e+31
  B1541+09      , 15:43:38.8250      , +09:29:16.339      , 5.900 , 2.74e+07, 4.1e+31
  J1543-5013    , 15:43:58.25        , -50:13:58          , 5.809 , 1.01e+06, 1.5e+33
  J1543-5149    , 15:43:44.1498      , -51:49:54.685      , 1.149 , 2.02e+09, 7.3e+34
  J1543-5459    , 15:43:56.43        , -54:59:15.0        , 4.658 , 1.15e+05, 3.8e+34

  J1544-0713    , 15:44:23.527       , -07:13:59.02       , 2.633 , 6.75e+06, 4.0e+32
  J1544+4937    , 15:44:04.48722     , +49:37:55.2545     , 2.991 , 1.17e+10, 1.2e+34
  B1541-52      , 15:44:59.8294      , -53:08:46.953      , 0.932 , 4.7e+07 , 4.2e+32
  J1545-4550    , 15:45:55.945458    , -45:50:37.52757    , 2.222 , 1.08e+09, 4.5e+34
  J1546-3747A   , 15:46:03.44        , -37:47:10.1        , 10.400, *       , *

  J1546-5302    , 15:46:07.4         , -53:02:23.0        , 5.334 , 7.8e+05 , 2.4e+33
  J1546-5925    , 15:46              , -59:25             , 4.004 , *       , *
  J1547-0944    , 15:47:46.058       , -09:44:07.8        , 3.756 , 8.5e+06 , 3.0e+31
  J1547-5709    , 15:47:24.1248      , -57:09:17.5699     , 2.695 , 9.13e+09, 3.7e+33
  J1547-5750    , 15:47:30.60        , -57:50:29.4        , 3.464 , 4.01e+08, 3.7e+30

  J1547-5839    , 15:47:34.99        , -58:39:09.8        , 5.685 , 6.46e+06, 1.7e+33
  J1548-4821    , 15:48:23.26        , -48:21:49.7        , 3.439 , 2.88e+09, 1.0e+31
  J1548-4927    , 15:48:19.47        , -49:27:40.4        , 3.518 , 2.36e+06, 7.3e+32
  J1548-5607    , 15:48:44.015       , -56:07:34.3        , 5.702 , 2.52e+05, 8.5e+34
  J1549+2113    , 15:49:40.941       , +21:13:26.9        , 3.033 , 2.34e+07, 1.7e+31

  J1549-4848    , 15:49:21.08        , -48:48:35.5        , 1.308 , 3.24e+05, 2.3e+34
  J1549-57      , 15:49:05           , -57:21:37          , 0.704 , *       , *
  J1549-5722    , 15:49:47.9         , -57:22:02          , 2.858 , 1.68e+08, 1.5e+31
  J1550-5242    , 15:50:02.95        , -52:42:07.0        , 5.644 , 6.68e+05, 1.7e+33
  J1550-5317    , 15:50:04.8         , -53:17:21          , 6.932 , 2.41e+07, 1.3e+31

  J1550-5418    , 15:50:54.12386     , -54:18:24.1141     , 4.000 , 1.41e+03, 1.0e+35
  J1551-0658    , 15:51:07.215       , -06:58:06.5        , 1.325 , *       , *
  J1551-4424    , 15:51:48.02        , -44:24:42          , 2.227 , 5.68e+07, 2.4e+31
  J1551-5310    , 15:51:41.0         , -53:11:00.5        , 5.878 , 3.69e+04, 8.2e+34
  J1551-6214    , 15:51:36.788       , -62:14:23.37       , 3.901 , 1.38e+08, 1.1e+32

  J1552-4937    , 15:52:13.2709      , -49:37:49.744      , 3.055 , 5.24e+09, 3.0e+33
  J1552+5437    , 15:52:53.33117     , +54:37:05.7866     , 2.636 , 1.38e+10, 7.7e+33
  B1550-54      , 15:53:59.61        , -54:56:06.25       , 3.786 , 1.09e+06, 4.9e+32
  J1554+18      , 15:54:17           , +18:04             , 2.753 , *       , *
  J1554-5209    , 15:54:27.15        , -52:09:38.3        , 3.079 , 8.65e+05, 4.6e+34

  J1554-5512    , 15:54:40.5         , -55:12:33          , 6.397 , 1.74e+06, 3.1e+31
  J1555+01      , 15:55:58           , +01:08             , 1.253 , *       , *
  J1555-0515    , 15:55:40.097       , -05:15:57.4        , 1.548 , 7.52e+06, 8.7e+31
  B1552-23      , 15:55:33.184       , -23:41:09.9        , 3.747 , 1.22e+07, 1.8e+32
  J1555-2908    , 15:55:40.65855     , -29:08:28.4232     , 7.559 , 6.36e+08, 3.1e+35

  B1552-31      , 15:55:17.952       , -31:34:20.10       , 5.299 , 1.32e+08, 1.8e+31
  J1556-5358    , 15:56:51.5         , -53:58:55          , 5.020 , 1.51e+06, 4.2e+32
  J1557-4258    , 15:57:00.2580      , -42:58:12.66       , 8.630 , 1.58e+07, 3.7e+32
  J1557-5151    , 15:57:29.30        , -51:51:08.4        , 6.485 , 8.58e+07, 4.4e+31
  J1558-5419    , 15:58:41.45        , -54:19:26          , 7.430 , 1.56e+06, 1.1e+33

  J1558-5756    , 15:58:30.53        , -57:56:26.1        , 3.325 , 9.54e+04, 5.2e+33
  J1558-67      , 15:58:21           , -67:35:59          , 5.402 , *       , *
  J1559-44      , 15:59              , -44:00             , 4.804 , *       , *
  B1556-44      , 15:59:41.526126    , -44:38:45.901778   , 2.300 , 4e+06   , 2.4e+33
  B1555-55      , 15:59:20.7         , -55:45:47          , 4.133 , 7.62e+05, 9.0e+32

  J1600-3053    , 16:00:51.903102    , -30:53:49.39259    , 1.887 , 6e+09   , 8.1e+33
  B1557-50      , 16:00:53.015       , -50:44:21.30       , 6.900 , 6.03e+05, 2.8e+34
  B1556-57      , 16:00:19.90        , -57:51:15.3        , 4.183 , 1.45e+06, 1.1e+34
  J1600-5916    , 16:00:35.0         , -59:16:59          , 5.657 , 2.23e+07, 1.8e+31
  J1601-50      , 16:01:24           , -50:23             , 1.367 , *       , *

  J1601-5244    , 16:01:27.3         , -52:44:09          , 4.088 , 5.63e+07, 1.7e+30
  J1601-5335    , 16:01:54.81        , -53:35:44.1        , 3.576 , 7.33e+04, 1.0e+35
  J1602+3901    , 16:02:18.84        , +39:01:01.8        , 1.630 , *       , *
  J1602-4957    , 16:02:18.2         , -49:57:32          , 6.029 , 8.15e+05, 1.1e+33
  B1558-50      , 16:02:18.73        , -51:00:06.1        , 8.000 , 1.97e+05, 4.2e+33

  J1603-1655    , 16:03:09           , -16:55:28          , 25.000, *       , *
  J1603+18      , 16:03:34           , +18:51             , 25.000, *       , *
  J1603-2531    , 16:03:04.8253      , -25:31:47.9        , 3.412 , 2.81e+06, 2.8e+33
  B1600-27      , 16:03:08.063       , -27:13:27.6        , 2.306 , 4.1e+06 , 2.5e+32
  J1603-3539    , 16:03:53.697       , -35:39:57.1        , 4.100 , 1.81e+07, 1.7e+33

  J1603-5312    , 16:03:50.88        , -53:12:58.0        , 3.113 , 2.68e+05, 3.3e+33
  J1603-5657    , 16:03:31.46        , -56:57:44.19       , 6.730 , 2.81e+06, 9.0e+32
  J1603-7202    , 16:03:35.675239    , -72:02:32.75811    , 0.530 , 1.5e+10 , 1.9e+32
  J1604-3142    , 16:04:36.546       , -31:42:06.4        , 2.902 , 5.29e+08, 1.5e+30
  J1604-44      , 16:04:32           , -44:43             , 7.833 , *       , *

  J1604-4718    , 16:04:29.41        , -47:18:47.9        , 1.307 , 1.68e+06, 1.3e+33
  B1600-49      , 16:04:22.976       , -49:09:57.98       , 3.225 , 5.09e+06, 1.1e+33
  J1604-7203    , 16:04:29.177       , -72:03:30.46       , 1.595 , 6.44e+07, 8.3e+31
  J1605+3249    , 16:05:18.52        , +32:49:18.0        , *     , *       , *
  J1605-5215    , 16:05:19.0         , -52:15:48          , 5.087 , 3.38e+06, 1.8e+32

  B1601-52      , 16:05:16.265       , -52:57:34.80       , 0.922 , 4.07e+07, 3.5e+31
  B1604-00      , 16:07:12.0598      , -00:32:41.527      , 1.087 , 2.18e+07, 1.6e+32
  J1607-5140    , 16:07:49.3         , -51:40:16          , 5.118 , 2.14e+06, 2.5e+33
  J1607-6449    , 16:07:48.711       , -64:49:43.08       , 3.444 , 1.9e+08 , 3.7e+31
  J1609-1930    , 16:09:05.35        , -19:30:08          , 1.791 , 4.85e+07, 5.3e+30

  J1609-4616    , 16:09:41.13        , -46:16:22.5        , 3.747 , 7.89e+06, 1.3e+33
  J1609-5158    , 16:09:26.7         , -51:58:18          , 6.477 , 1.56e+06, 2.4e+32
  B1607-13      , 16:10:42.77        , -13:22:22          , 3.247 , 7.02e+07, 8.6e+30
  J1610-17      , 16:10:11           , -17:50             , 3.768 , *       , *
  J1610-5006    , 16:10:44.30        , -50:06:42.2        , 5.615 , 5.59e+05, 4.8e+33

  J1610-5303    , 16:10:12.82        , -53:03:49          , 5.353 , 4.77e+06, 2.1e+32
  J1611-01      , 16:11              , -01:28             , 2.015 , *       , *
  J1611-29      , 16:11              , -29                , 7.464 , *       , *
  J1611-4811    , 16:11:02.7         , -48:11:39          , 4.909 , 1.05e+07, 3.5e+31
  J1611-4949    , 16:11:46.63        , -49:49:57.2        , 7.234 , 1.95e+07, 7.2e+31

  B1607-52      , 16:11:03.37        , -52:09:22.13       , 2.949 , 5.59e+05, 3.4e+34
  J1611-5847    , 16:11:51.313       , -58:47:42.33       , 2.479 , 2.79e+09, 1.8e+30
  J1612+2008    , 16:12:23.432       , +20:08:18.33       , 1.740 , 1.81e+08, 1.9e+31
  J1612-2408    , 16:12:26.06        , -24:08:04          , 2.770 , 9.3e+06 , 7.9e+31
  J1612-49      , 16:12:54           , -49:27             , 6.293 , *       , *

  J1612-5022    , 16:12:28.028       , -50:22:57.3        , 3.994 , 6.38e+08, 5.2e+29
  J1612-5136    , 16:12:00.6         , -51:36:54          , 6.690 , 2.02e+06, 1.3e+33
  J1612-55      , 16:12:06           , -55:09             , 6.923 , *       , *
  J1612-5805    , 16:12:27.816       , -58:05:29.2        , 5.542 , 1.04e+07, 1.6e+32
  B1609-47      , 16:13:29.018       , -47:14:26.41       , 3.521 , 9.56e+06, 4.5e+32

  J1613-5211    , 16:13:42.46        , -52:11:21.0        , 4.718 , 3.77e+05, 7.9e+33
  J1613-5234    , 16:13:57.49        , -52:34:17          , 7.421 , 1.57e+06, 9.3e+32
  B1612+07      , 16:14:40.906       , +07:37:31.0        , 1.626 , 8.1e+06 , 5.3e+31
  J1614-2230    , 16:14:36.507540    , -22:30:31.2961     , 0.700 , 5.19e+09, 1.2e+34
  J1614-23      , 16:14              , -23:15             , 3.235 , *       , *

  J1614-3846    , 16:14:42.52        , -38:46:35          , 5.637 , 7.99e+06, 3.6e+32
  J1614-3937    , 16:14:31.227       , -39:37:28.8        , 10.650, 4.07e+07, 9.3e+31
  B1610-50      , 16:14:11.29        , -50:48:03.5        , 5.148 , 7.42e+03, 1.6e+36
  J1614-5144    , 16:14:45.7         , -51:44:49          , 6.129 , 3.27e+06, 8.1e+31
  J1614-5402    , 16:14:50.38        , -54:02:47          , 5.829 , 3.13e+08, 6.1e+30

  B1612-29      , 16:15:52.83        , -29:40:16          , 1.717 , 2.48e+07, 4.1e+30
