#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J0104+64      , 01:04              , +64                , 1.711 , *       , *
  J0106+4855    , 01:06:25.06        , +48:55:51.8        , 3.063 , 3.08e+06, 2.9e+34

  J0107+1322    , 01:07:39.95        , +13:22:31.7        , 2.349 , 2.76e+07, 1.6e+31
  J0108-1431    , 01:08:08.347016    , -14:31:50.1871     , 0.210 , 1.66e+08, 5.8e+30
  B0105+65      , 01:08:22.5049      , +66:08:34.499      , 2.128 , 1.56e+06, 2.4e+32
  B0105+68      , 01:08:29.50        , +69:05:52.63       , 1.981 , 3.53e+08, 1.5e+30
  J0110-22      , 01:10              , -22                , 25.000, *       , *

  J0111+6624    , 01:11:21.87        , +66:24:10.8        , 2.412 , 8.15e+06, 4.1e+30
  J0111-7131    , 01:11:28.77        , -71:31:46.8        , 59.700, 1.54e+06, 8.6e+32
  J0113-7220    , 01:13:11.09        , -72:20:32.20       , 59.700, 1.06e+06, 5.5e+33
  J0115+6325    , 01:15:45.87        , +63:25:50.8        , 1.931 , 5.17e+06, 4.5e+32
  B0114+58      , 01:17:38.661       , +59:14:38.39       , 1.768 , 2.75e+05, 2.2e+35

  J0121+53      , 01:21              , +53:29             , 2.644 , *       , *
  J0122+1416    , 01:22:01.31        , +14:16:17          , 1.584 , 5.79e+06, 5.6e+31
  J0125-2327    , 01:25:10           , -23:27:26          , 0.873 , *       , *
  J0125+62      , 01:26              , +62:35             , 2.403 , *       , *
  J0131-7310    , 01:31:28.51        , -73:10:09.34       , 59.700, 3.13e+06, 1.6e+33

  J0133-6957    , 01:33:32.46        , -69:57:29.68       , 2.441 , 6.12e+07, 4.8e+31
  J0134-2937    , 01:34:18.6824      , -29:37:17.042      , 25.000, 2.77e+07, 1.2e+33
  J0137+1654    , 01:37:23.88        , +16:54:42.1        , 3.061 , 5.37e+08, 6.8e+30
  J0137+6349    , 01:37:13.365       , +63:49:34.35       , 9.097 , 1.19e+07, 1.0e+32
  J0139+3336    , 01:39:57.23        , +33:36:59.7        , 1.472 , 9.58e+06, 4.2e+31

  J0139+5621    , 01:39:38.56        , +56:21:36.8        , 2.410 , 3.56e+05, 5.6e+32
  B0136+57      , 01:39:19.7401      , +58:14:31.819      , 2.600 , 4.03e+05, 2.1e+34
  B0138+59      , 01:41:39.938       , +60:09:32.30       , 2.300 , 4.95e+07, 8.4e+30
  J0141+63      , 01:41              , +63:08             , 8.774 , *       , *
  J0146+31      , 01:46:15           , +31:04             , 1.826 , *       , *

  J0146+6145    , 01:46:22.42        , +61:45:02.8        , 3.600 , 6.91e+04, 1.2e+32
  B0144+59      , 01:47:44.6434      , +59:22:03.284      , 2.128 , 1.21e+07, 1.3e+33
  B0148-06      , 01:51:22.7179      , -06:35:02.987      , 25.000, 5.24e+07, 5.6e+30
  J0152+0948    , 01:52:23.73        , +09:48:10          , 2.477 , 2.56e+07, 3.2e+30
  B0149-16      , 01:52:10.8539      , -16:37:53.641      , 0.920 , 1.02e+07, 8.9e+31

  J0154+1833    , 01:54:36.88273     , +18:33:50.758      , 1.622 , 1.28e+10, 8.7e+33
  J0156+04      , 01:56:01           , +04:02             , 25.000, *       , *
  B0153+39      , 01:56:55.2         , +39:49:29          , 4.916 , 1.89e+08, 1.0e+30
  B0154+61      , 01:57:49.9434      , +62:12:26.648      , 1.786 , 1.97e+05, 5.7e+32
  J0158+21      , 01:58:29           , +21:08             , 1.569 , *       , *

  J0201+7005    , 02:01:41.344       , +70:05:18.11       , 1.172 , 3.88e+06, 8.9e+31
  J0205+6449    , 02:05:37.92247     , +64:49:41.3343     , 3.200 , 5.37e+03, 2.7e+37
  B0203-40      , 02:06:01.293       , -40:28:03.62       , 1.260 , 8.35e+06, 1.9e+32
  J0209+5759    , 02:09:37.304       , +57:59:45.31       , 1.743 , 1.21e+06, 4.6e+32
  J0210+5845    , 02:10:55.4         , +58:45:04          , 1.952 , 2.09e+05, 9.6e+32

  J0211-8159    , 02:11:59.0         , -81:59:36.2        , 1.523 , 5.89e+07, 9.2e+30
  J0212+5222    , 02:12:52.138       , +52:22:49.50       , 1.558 , 9.04e+05, 4.9e+33
  J0214+5222    , 02:14:55.2713      , +52:22:40.95       , 1.161 , 1.3e+09 , 8.0e+32
  J0215+6218    , 02:15:56.626       , +62:18:33.37       , 2.004 , 1.31e+07, 1.6e+32
  J0218+4232    , 02:18:06.358569    , +42:32:17.37515    , 3.150 , 4.76e+08, 2.4e+35

  J0220+3626    , 02:20:42.12        , +36:26:55.7        , 2.240 , *       , *
